CAZy_Family	P.1	P.2	P.3	P.JF.C.1	P.JF.C.2	P.JF.C.3	P.SC.1	P.SC.2	P.SC.3	P.JF.1	P.JF.2	P.JF.3	Control.1	Control.2	Control.3
CE14	1983.994687	2182.408427	1834.837907	2047.71578	2275.248284	2164.757574	1499.707758	1518.810985	1435.507422	1269.879408	1093.48819	1127.950067	2072.000248	1549.325388	1267.011307
CE15	593.1220506	443.8142669	459.489711	753.4105993	728.9954864	666.6763448	256.0392523	300.0103355	392.1474083	327.2423273	311.9142372	166.2876003	56.00088845	112.1975742	37.85100575
CE16	69.65526942	81.71923492	60.74429483	125.7589132	103.225158	103.7442946	31.98867603	50.77114914	4.426886869	56.06528228	28.58531177	51.95733365	71.31315559	57.57056146	19.02259615
CE2	125.1270371	153.9641288	136.9937727	93.81732316	85.72210579	72.38297519	58.70450244	78.89634206	57.84501826	52.10416724	59.67221805	37.67418508	156.2515122	174.0146754	116.7246239
CE3	631.398104	637.8517224	626.5033882	583.1798677	590.4553263	623.90048	438.0382572	402.7966074	590.0795692	424.5523674	397.6040878	396.7157995	360.11821	347.7307476	276.0076198
CE4	2200.121468	2332.530896	2245.191376	2331.627448	2179.336232	2171.452599	2197.060958	2752.748544	2865.291979	2224.098875	2689.218731	3219.792911	2366.142949	2099.065909	1921.600911
CE5	6.305751066	3.873495715	6.154663494	0	0	0	52.28706782	32.31865463	42.66776513	5.975123337	3.065438527	0	23.71714671	19.04533673	37.49310429
CE6	483.6105229	463.996358	541.0638229	631.1254858	746.2629218	632.1024867	346.37036	497.008057	580.0958177	461.6936695	484.0329526	415.0592361	202.3301651	239.2738947	340.7962029
CE7	244.9196052	208.3236194	201.9509527	455.2460766	388.2981624	317.2735782	192.7996559	238.8536923	128.3617005	163.9682194	162.8156267	83.93746207	175.1201758	131.8791186	97.19520951
CE8	654.2075785	556.4454358	696.327647	872.6628073	827.0415643	831.2949549	404.4785169	344.4257671	402.5959479	354.9228868	394.9726846	379.7005691	231.201954	239.4915159	328.9618317
CE9	1016.963352	1073.944339	1105.623707	1322.985195	1466.389962	1405.280939	694.0423933	909.7941587	1103.854974	978.7213314	898.2485762	858.1191668	648.3508806	573.6582223	485.8515814
GH-A	25972.69886	23781.69209	25708.90816	33468.91679	33879.53279	33710.61828	13557.14547	14075.43478	16977.49192	18106.37539	18094.0618	16720.67068	5768.709617	6718.527455	7507.000883
GH-G	591.194774	580.5096041	787.5971585	529.3569862	543.4666773	560.6796254	440.9996215	525.3329769	680.1016661	518.7942083	470.5065885	418.1143356	281.606884	250.5436136	153.9919255
