	P.1	P.2	P.3	P.JF.C.1	P.JF.C.2	P.JF.C.3	P.SC.1	P.SC.2	P.SC.3	P.JF.1	P.JF.2	P.JF.3	Control.1	Control.2	Control.3
k__Bacteria|p__Thermotogae|c__Thermotogae	0	0	0.00254	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres	0	0	0	0.00193	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	0	0	0	0.00734	0	0	0	0	0.01775	0.00945	0.00119	0.00137	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes	0	0	0	0.00384	0.00403	0.00116	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	0	0	0	0.41942	0.08621	0.00404	0	0	0	0	0	0.00078	0	0.00313	0
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0	0	0	0	0	0.00114	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0	0	0	0	0	0.00135	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlamydiae|c__Chlamydiia	0	0	0	0	0	0	0.00533	0.00874	0	0	0	0	0	0	0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	0	0	0	0	0	0	0.00959	0	0	0.00156	0	0.00113	0.0149	0	0
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	0	0	0	0	0	0	0.00881	0	0.0249	0	0.00361	0	0	0.00834	0
k__Bacteria|p__Verrucomicrobia|c__Opitutae	0	0	0	0	0	0	0	0	0.00819	0	0	0.00137	0	0	0
k__Bacteria|p__Chloroflexi|c__Chloroflexi_noname	0	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname	0	0	0	0	0	0	0	0	0	0	0	0	0.00745	0.01363	0.01234
k__Bacteria|p__Nitrospinae|c__Nitrospinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00589	0
